235.54298 164.35094 143.8007,235.32785 162.977 143.27025,235.29865 161.57808 142.87811
188.00354 162.68117 159.47052,187.17139 162.9801 159.69714,186.13582 163.24197 159.74254
231.34859 371.877 260.83658,231.38481 372.2068 261.00464,231.25462 372.81247 261.33936
189.73979 338.45322 151.49452,188.60295 338.52197 151.44557,187.53905 338.55334 151.72891
390.2646 195.65102 238.48189,389.9557 195.47433 236.74586,389.17075 195.75609 235.36105
282.63358 172.44258 157.26703,283.06046 172.86952 158.02832,283.07748 172.95822 158.14201
0.0 0.0 0.0,324.1302 355.34918 229.57329,324.0781 355.74786 229.84985
233.35242 157.66043 191.3315,233.12172 157.37752 191.23973,232.79356 156.77313 191.07826
269.18103 139.33826 271.45685,268.84128 138.765 272.0686,268.7695 137.77011 272.68942
307.9081 340.68753 278.18936,307.28 339.52173 276.94333,306.24512 338.7505 275.86807
258.37515 193.17047 176.82352,257.14713 191.35617 177.02983,255.7949 189.93503 177.7848
265.42087 335.07645 123.11084,264.90405 334.01334 124.63575,264.51297 333.13327 126.43972
263.34863 309.7267 102.39399,263.23483 309.47058 103.654015,262.685 309.55353 104.76907
299.2877 132.66216 270.87628,298.35065 134.4083 270.26068,297.685 135.57271 269.90936
294.5807 327.70392 261.7542,293.474 326.77332 260.36096,292.19016 325.90845 259.17706
241.25722 142.57616 272.0811,240.50406 140.75496 273.341,239.91504 139.35355 274.7904
0.0 0.0 0.0,326.97845 325.12662 254.89493,325.91348 323.81854 254.26796
260.57687 167.40991 82.97514,260.21127 167.58215 83.91299,260.16656 167.48898 84.832825
313.527 162.27951 211.29291,313.83124 163.52705 211.35568,313.94208 164.78822 211.18921
194.17879 162.81903 160.36131,193.20163 162.54153 160.9651,192.32977 162.74722 161.71341
295.90442 328.45334 263.2422,294.5807 327.70392 261.7542,293.474 326.77332 260.36096
267.90027 374.1178 221.86969,266.81235 374.9719 222.0986,265.57755 375.5142 222.58311
290.20844 151.9641 243.47894,288.98254 152.77579 242.99254,287.9018 153.45042 242.26476
275.22357 160.14551 265.01035,274.02365 159.07893 266.19418,272.67844 158.21631 267.48495
0.0 0.0 0.0,194.43398 161.11845 202.07059,193.1525 160.2487 202.73668
302.77844 151.4895 240.09276,302.03415 152.18285 240.12407,300.949 152.77248 239.97308
297.29062 358.00455 258.7303,296.5115 356.79974 258.15192,295.95074 355.52417 257.42603
0.0 0.0 0.0,276.8139 122.75739 288.7574,276.564 121.66886 289.66885
